word,chinese_meaning,phonetic,part_of_speech,english_meaning
contempt,"n. 轻视, 轻蔑\n[法] 藐视, 侮辱, 轻视",kәn'tempt,,n. lack of respect accompanied by a feeling of intense dislike\nn. a manner that is generally disrespectful and contemptuous\nn. open disrespect for a person or thing\nn. a willful disobedience to or disrespect for the authority of a court or legislative body
contend,"vi. 奋斗, 斗争, 竞争\nvt. 为...斗争",kәn'tend,,v. maintain or assert\nv. be engaged in a fight; carry on a fight
content,"n. 内容, 满足, 意义, 要旨\na. 满足的, 满意的\nvt. 使...满足, 使...安心\n[计] 内容",kәn'tent,,"n. everything that is included in a collection and that is held or included in something\nn. the proportion of a substance that is contained in a mixture or alloy etc.\nn. the sum or range of what has been perceived, discovered, or learned\nv. satisfy in a limited way"
contention,"n. 争论, 争辩, 所持的论点\n[计] 争用",kәn'teinʃәn,,n. a point asserted as part of an argument
contest,"n. 竞赛, 争论\nvt. 竞争, 争取, 争辩\nvi. 竞争",'kɒntest,,"n. an occasion on which a winner is selected from among two or more contestants\nn. a struggle between rivals\nv. to make the subject of dispute, contention, or litigation"
context,"n. 上下文, 背景, 来龙去脉\nn. 上下文\n[计] 上下文",'kɒntekst,,n. discourse that surrounds a language unit and helps to determine its interpretation\nn. the set of facts or circumstances that surround a situation or event
continent,"n. 大陆, 洲\na. 自制的",'kɒntinәnt,,n. one of the large landmasses of the earth\nn. the European mainland\na. having control over urination and defecation
continual,"a. 持续不断的, 继续的\n[建] 连续的",kәn'tinjuәl,,a. occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series\ns. `continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption)
continue,"vi. 继续, 延续, 延长\nvt. 使继续, 使延长",kәn'tinju:,,"v. continue a certain state, condition, or activity\nv. continue talking\nv. keep or maintain in unaltered condition; cause to remain or last\nv. do something repeatedly and showing no intention to stop"
continuous,"a. 连续的, 继续的, 连续不断的\n[计] 连续的",kәn'tinjuәs,,a. continuing in time or space without interruption\na. of a function or curve; extending without break or irregularity
contract,"n. 合约, 婚约, 契约\nvt. 使皱缩, 使缩短, 感染, 订约, 缔结\nvi. 皱缩, 订约, 收缩",'kɒntrækt,,n. a binding agreement between two or more persons that is enforceable by law\nn. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make\nn. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid\nv. enter into a contractual arrangement
contradict,"vt. 反驳, 与...抵触, 与...矛盾\nvi. 反驳",.kɒntrә'dikt,,v. be in contradiction with\nv. deny the truth of
contradiction,"n. 反驳, 矛盾\n[法] 矛盾, 否认, 反驳",.kɒntrә'dikʃәn,,n. opposition between two conflicting forces or ideas\nn. (logic) a statement that is necessarily false\nn. the speech act of contradicting someone
contrary,"a. 相反的, 矛盾的, 对立的\nn. 相反, 对立面\nadv. 相反地",'kɒntrәri,,n. exact opposition\nn. a logical relation such that two propositions are contraries if both cannot be true but both can be false\ns. very opposed in nature or character or purpose\ns. of words or propositions so related that both cannot be true but both may be false
contrast,"n. 差别, 对比, 对照物\nvt. 使对比\nvi. 成对照\n[计] 反差; 对比度",kәn'træst,,n. the opposition or dissimilarity of things that are compared\nn. the act of distinguishing by comparing differences\nn. the perceptual effect of the juxtaposition of very different colors\nn. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)
contribute,"vt. 有助于, 捐助, 投稿\nvi. 出力, 捐献, 投稿",kәn'tribju:t,,v. contribute to some cause\nv. be conducive to
contribution,"n. 捐助, 捐助之物, 贡献\n[经] 贡献, 捐款, 补助品",.kɒntri'bju:ʃәn,,n. the part played by a person in bringing about a result\nn. a voluntary gift (as of money or service or ideas) made to some worthwhile cause\nn. act of giving in common with others for a common purpose especially to a charity\nn. an amount of money contributed
contrive,"v. 发明, 设计, 图谋",kәn'traiv,,"v make or work out a plan for; devise\nv come up with (an idea, plan, explanation, theory, or principle) after a mental effort\nv put or send forth"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置\nvt. 控制, 操纵, 抑制\n[计] 控制; 控制器",kәn'trәul,,n. power to direct or determine\nn. a relation of constraint of one entity (thing or person or group) by another\nn. (physiology) regulation or maintenance of a function or action or reflex etc\nn. the activity of managing or exerting control over something
controversial,"a. 争论的, 论争的, 被议论的",.kɒntrә'vә:ʃәl,,a. marked by or capable of arousing controversy
controversy,"n. 论争, 辩论, 论战, 争论\n[法] 论战, 争论, 争吵",'kɒntrәvә:si,,n. a contentious speech act; a dispute where there is strong disagreement
convenience,"n. 方便, 便利的事物, 方便的时候",kә'vi:njәns,,n. the state of being suitable or opportune\nn. the quality of being useful and convenient
convenient,"a. 方便的, 合宜的\n[法] 适当的, 合理而可行的, 方便的",kәn'vi:njәnt,,a. suited to your comfort or purpose or needs
convention,"n. 大会, 协定, 惯例, 约定\n[计] 约定",kәn'venʃәn,,n. a large formal assembly\nn. something regarded as a normative example\nn. (diplomacy) an international agreement\nn. the act of convening
conventional,"a. 传统的, 习惯的, 约定的\n[经] 惯例的, 常规的, 传统的",kәn'venʃәnl,,a. following accepted customs and proprieties\ns. conforming with accepted standards\na. (weapons) using energy for propulsion or destruction that is not nuclear energy\na. unimaginative and conformist
conversely,"adv. 相反, 逆, 颠倒, 反题, 反",'kɔnv\\\\:sli,,r. with the terms of the relation reversed
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法\n[计] 转换",kәn'vә:ʃәn,,"n. an event that results in a transformation\nn. a change in the units or form of an expression: ""conversion from Fahrenheit to Centigrade""\nn. a successful free throw or try for point after a touchdown\nn. a spiritual enlightenment causing a person to lead a new life"
convert,"n. 皈依者, 改变宗教信仰者\nvt. 使改变信仰, 转换, 兑换, 倒置\nvi. 皈依\n[计] 转换",kәn'vә:t,,"n. a person who has been converted to another religious or political belief\nv. change from one system to another or to a new plan or policy\nv. change the nature, purpose, or function of something\nv. change religious beliefs, or adopt a religious belief"
convey,"vt. 传达, 运输, 转让\n[经] 转让(财产等), 搬运",kәn'vei,,"v. make known; pass on, of information\nv. transfer to another\nv. transmit a title or property"
convict,"n. 囚犯, 罪犯\nvt. 宣告有罪, 使知罪",kәn'vikt,,n. a person serving a sentence in a jail or prison\nn. a person who has been convicted of a criminal offense\nv. find or declare guilty
conviction,"n. 定罪, 信服, 坚信\n[法] 定罪, 证明有罪, 判罪",kәn'vikʃәn,,n. an unshakable belief in something without need for proof or evidence\nn. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed
convince,"vt. 说服, 使相信\n[法] 使确信, 使信服, 使人认识错误",kәn'vins,,"v make (someone) agree, understand, or realize the truth or validity of something"
cooperate,"vi. 合作, 协力, 配合\n[化] 合作",kәu'ɒpәreit,,v work together on a common enterprise of project
cooperative,a. 合作的；合作社的,kәu'ɔpәrәtiv,,n. a jointly owned commercial enterprise (usually organized by farmers or consumers) that produces and distributes goods and services and is run for the benefit of its owners\nn. an association formed and operated for the benefit of those using it\na. done with or working with others for a common purpose or benefit
coordinate,"n. 同等的人(或物), 坐标\na. 同等的, 并列的\nv. (使)协调",kәu'ɒ:dineit,,"n. a number that identifies a position relative to an axis\nv. bring into common action, movement, or condition\nv. be co-ordinated\ns. of equal importance, rank, or degree"
cop,n. 警官\nvt. 抓住,kɒp,,n uncomplimentary terms for a policeman\nv take by theft\nv take into custody
cope,"vi. 竞争, 应付\nn. 长袍",kәup,,n. a long cloak; worn by a priest or bishop on ceremonial occasions\nv. come to terms with
copper,"n. 铜, 警察\n[化] 铜Cu",'kɒpә,,n. a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor\nn. a copper penny\nn. a reddish-brown color resembling the color of polished copper\nn. any of various small butterflies of the family Lycaenidae having coppery wings
copyright,"n. 版权, 著作权\n[法] 著作权",'kɒpirait,,n. a document granting exclusive right to publish and sell literary or musical or artistic work\nv. secure a copyright on a written work
cord,"n. 绳索, 束缚\n[医] 索, 带",kɒ:d,,n. a line made of twisted fibers or threads\nn. a unit of amount of wood cut for burning; 128 cubic feet\nn. a light insulated conductor for household use\nn. a cut pile fabric with vertical ribs; usually made of cotton
cordial,"n. 兴奋剂, 补品\na. 热忱的, 诚恳的, 有兴奋作用的",'kɒ:djәl,,s. politely warm and friendly\ns. sincerely or intensely felt
CORE,"n. 核心, 果心, 要点\nvt. 挖...的核\n[计] 内核, 核心网",kɒ:,,n. a small group of indispensable persons or things\nn. the center of an object\nn. the central part of the Earth\nn. a cylindrical sample of soil or rock obtained with a hollow drill
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼\nvt. 使成颗粒, 腌",kɒ:n,,n. tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times\nn. the dried grains or kernels or corn used as animal feed or ground for meal\nn. ears of corn that can be prepared and served for human food\nn. a hard thickening of the skin (especially on the top or sides of the toes) caused by the pressure of ill-fitting shoes
corporation,"n. 公司, 合作, 法人团体\n[法] 法人团体, 社团, 法人",.kɒ:pә'reiʃәn,,n. a business firm whose articles of incorporation have been approved in some state
correct,"a. 正确的, 合适的\nvt. 改正, 订正",kә'rekt,,v. make right or correct\nv. treat a defect\na. free from error; especially conforming to fact or truth\ns. socially right or correct
